population,cell_type,n_responder_subjects,n_nonresponder_subjects,responder_mean_percentage,nonresponder_mean_percentage,responder_median_percentage,nonresponder_median_percentage,median_difference_percentage_points,mann_whitney_u,rank_biserial_correlation,p_value,p_value_bh,significant_fdr_0_05,test,multiple_testing
b_cell,B cell,331,325,9.797552613770158,9.996319710875161,9.671393040785683,9.844568355749049,-0.17317531496336613,51499.0,-0.042547060190564756,0.34579575361837356,0.43224469202296695,False,two-sided Mann-Whitney U on subject-level mean percentage,Benjamini-Hochberg across cell types
cd4_t_cell,CD4 T cell,331,325,30.5378083418501,29.90226177625406,30.20981709190839,29.82252023625726,0.3872968556511296,59855.0,0.11280501975366031,0.012422106237428315,0.06211053118714158,False,two-sided Mann-Whitney U on subject-level mean percentage,Benjamini-Hochberg across cell types
cd8_t_cell,CD8 T cell,331,325,24.88193159509671,24.943924357525862,24.896947918824413,25.009725891231607,-0.11277797240719423,52591.0,-0.02224494538693933,0.6221436939857599,0.6221436939857599,False,two-sided Mann-Whitney U on subject-level mean percentage,Benjamini-Hochberg across cell types
monocyte,Monocyte,331,325,19.941763178422633,20.084327940698326,19.794516307728255,20.276802878048535,-0.4822865703202801,51079.0,-0.05035556588426682,0.26449173372700063,0.43224469202296695,False,two-sided Mann-Whitney U on subject-level mean percentage,Benjamini-Hochberg across cell types
nk_cell,NK cell,331,325,14.840944270860408,15.073166214646589,14.739688497806503,14.959829529667223,-0.2201410318607202,50081.0,-0.0689100627469208,0.12674471572310064,0.3168617893077516,False,two-sided Mann-Whitney U on subject-level mean percentage,Benjamini-Hochberg across cell types
